key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander	can_be_dismantled	is_foreign_slot_chain
#building_chains_tables;10;db/building_chains_tables/rhox_iee_lccp										
rhox_torinubar_sound_toll			money	false	rhox_torinubar_sound_toll		0		true	false
rhox_torinubar_east_foreign			money	false	rhox_torinubar_east_foreign		0		false	false
rhox_torinubar_west_foreign			money	false	rhox_torinubar_west_foreign		0		false	false
rhox_valbrand_NORSCA_beasts			military	false	wh2_main_sch_military3_warmachines		3		true	false
rhox_valbrand_NORSCA_chaos			military	false	wh2_main_sch_military4_monsters		5		true	false
rhox_valbrand_NORSCA_creatures			military	false	wh2_main_sch_military5		4		true	false
rhox_valbrand_NORSCA_loot			money	false	wh2_main_sch_infrastructure1_farm		9		true	false
rhox_valbrand_NORSCA_military			military	true	wh2_main_sch_military1_barracks		0		true	false
rhox_valbrand_NORSCA_offerings			military	false	wh2_main_sch_support2_worship		7		true	false
rhox_valbrand_NORSCA_settlement_major			military	true	wh_main_sch_main_settlement		0		true	false
rhox_valbrand_NORSCA_slaves			money	false	wh2_main_sch_infrastructure2_industry		10		true	false
rhox_valbrand_NORSCA_smith			military	true	wh2_main_sch_support1_smith		0		true	false
rhox_valbrand_NORSCA_stables			military	true	wh2_main_sch_military2_stables		0		true	false
rhox_valbrand_NORSCA_walls			military	false	wh_main_sch_norsca_walls		8		true	false
rhox_valbrand_NORSCA_worship			money	true	wh2_main_sch_infrastructure3_order		4		true	false
rhox_hrothyogg_mercenary_branch			money	false	rhox_hrothyogg_mercenary_branch		0		false	false
rhox_dolmance_slaanesh			money	true	wh2_main_sch_support2_worship		3		true	false
rhox_dolmance_sunstory			money	false	rhox_dolmance_sunstory		0		true	false
rhox_dolmance_treasure_wine			money	false	rhox_dolmance_treasure_wine		0		true	false
rhox_thorgar_dae_advanced			military	false	rhox_thorgar_dae_advanced		0		true	false
rhox_duriath_black_ark_special			military	false	rhox_duriath_black_ark_special		3	hkrul_duriath	true	false
rhox_duriath_tor_elithis			military	false	rhox_duriath_tor_elithis		0		true	false
rhox_zach_malevolent_museum			money	false	rhox_zach_malevolent_museum		0		true	false
rhox_torinubar_tor_larha_colony			military	false	rhox_torinubar_tor_larha_colony		0		true	false
