id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
#campaign_character_arts_tables;0;db/campaign_character_arts_tables/rhox_iee_lccp_faction_leader																
672250330	hkrul_sceolan	0	0		none	hkrul_sceolan			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hero_hu1d_def_spear_and_shield	cam_agent_ship_01	cam_heavy_ship_01	0	0	0
672250331	hkrul_valbrand	0	0		none	hkrul_valbrand			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1c_valbrand	cam_transport_ship_05	cam_transport_ship_05	0	0	0
672250332	hkrul_volrik	0	0		none	hkrul_volrik			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_lord_hu1c_wh3_kislev_sword_and_axe_yuri	cam_heavy_ship_04	cam_heavy_ship_04	0	0	0
672250333	hkrul_zach	0	0		none	hkrul_zach			wh_main_campaign_vmp_ship_heavy	wh_main_campaign_vmp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
672250334	hef_calith_torinubar	0	0	hef_calith_torinubar	none	hef_calith_torinubar	hef_calith_torinubar		wh2_main_campaign_hef_ship_transport	wh2_main_campaign_hef_ship_transport	cam_hu1d_elf_staff_and_sword	cam_light_ship_05	cam_light_ship_05	0	0	0
672250335	hkrul_orghotts	0	0		none	hkrul_orghotts			wh3_uniform_nur_ship_transport	wh3_uniform_nur_ship_transport	cam_hu13_wh3_ogre_hammer_and_sword	cam_nur_ship_01	cam_nur_ship_01	0	0	0
672250336	hkrul_hrothyogg	0	0		none	hkrul_hrothyogg			wh3_uniform_ogr_ship_lord	wh3_uniform_ogr_ship_lord	cam_hu13_rhox_irongut	cam_ogr_ship_01	cam_ogr_ship_01	0	146	146
672250337	hkrul_aelfric	0	0		none	hkrul_aelfric			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_lord_hu1c_wh3_kislev_sword_and_axe_yuri	cam_heavy_ship_04	cam_heavy_ship_04	0	0	0
672250338	hkrul_slaurith	0	0		none	hkrul_slaurith			wh3_uniform_kho_ship_lord	wh3_uniform_kho_ship_lord	cam_hero_hu1c_dlc24_helbrass_2handed_sword	cam_khorne_ship_01	cam_khorne_ship_01	0	145	145
672250339	hkrul_burlok	0	0		none	hkrul_burlok			wh_main_campaign_dwf_ship_heavy	wh_main_campaign_dwf_ship_heavy	cam_hero_hu3_pr7_gotrex_axe	cam_heavy_ship_03	cam_heavy_ship_03	0	0	0
672250340	hkrul_dolmance	0	0		none	hkrul_dolmance			wh_main_campaign_brt_ship_heavy	wh_main_campaign_brt_ship_heavy	cam_hu1_alphonse	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
672250341	hkrul_thorgar	0	0		none	hkrul_thorgar			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_lord_hu1c_wh3_kislev_sword_and_axe_yuri	cam_heavy_ship_04	cam_heavy_ship_04	0	0	0
672250342	hkrul_arbaal	0	0		none	hkrul_arbaal			wh3_uniform_kho_ship_lord	wh3_uniform_kho_ship_lord	cam_lord_hu1c_wh3_kislev_dual_axe	cam_khorne_ship_01	cam_khorne_ship_01	12	0	0
672250343	hkrul_engra	0	0		none	hkrul_engra			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_lord_hu1c_wh3_kislev_sword_and_axe_yuri	cam_heavy_ship_04	cam_heavy_ship_04	0	0	0
672250344	hkrul_vroth	0	0		none	hkrul_vroth			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_lord_hu1c_mod_chaos_2h_spear	cam_heavy_ship_04	cam_heavy_ship_04	0	0	0
672250345	hkrul_karitamen	0	0		none	hkrul_karitamen			wh2_dlc09_campaign_tmb_ship_transport	wh2_dlc09_campaign_tmb_ship_transport	cam_lord_hu1_liche_priest_staff_and_sword	cam_transport_ship_06	cam_transport_ship_06	45	0	0
672250346	hkrul_thorgar_daemon_prince	0	0		none	hkrul_thorgar_daemon_prince			wh_main_campaign_chs_ship_heavy	wh_main_campaign_chs_ship_heavy	cam_lord_hu10e_wh3_daemon_prince_sword	cam_heavy_ship_04	cam_heavy_ship_04	0	0	0
672250347	hkrul_duriath	0	0		none	hkrul_duriath			wh2_main_uniform_def_black_ark	wh2_main_uniform_def_black_ark	cam_lord_hu1d_elf_sword_crossbow	cam_light_ship_05	cam_light_ship_05	0	0	0
672250348	hkrul_beorg	0	0		none	hkrul_beorg			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1c_chaos_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	0	0	0
672250349	hkrul_beorg_bear	0	0		none	hkrul_beorg_bear			wh_dlc08_campaign_nor_ship_transport	wh_dlc08_campaign_nor_ship_transport	cam_hu1c_chaos_axe_and_shield	cam_heavy_ship_04	cam_heavy_ship_04	0	0	0
