member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/rhox_iee_lccp		
rhox_valbrand_feature	ACTOR	rhox_nor_firebrand_slavers
rhox_valbrand_streak	OWNER	rhox_nor_firebrand_slavers
rhox_volrik_feature	ACTOR	cr_nor_avags
rhox_volrik_high_wom	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_1-10_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_11-20_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_21-30_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_31-40_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_41-50_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_51-60_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_61-70_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_71-80_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_81-90_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_tzeentch_91-100_rhox_volrik	ACTOR	cr_nor_avags
wh3_main_corruption_khorne_1-10_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
wh3_main_corruption_khorne_11-20_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
wh3_main_corruption_khorne_21-30_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
wh3_main_corruption_khorne_31-40_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
wh3_main_corruption_khorne_41-50_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
wh3_main_corruption_khorne_51-60_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
wh3_main_corruption_khorne_61-70_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
wh3_main_corruption_khorne_71-80_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
wh3_main_corruption_khorne_81-90_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
wh3_main_corruption_khorne_91-100_rhox_valbrand	ACTOR	rhox_nor_firebrand_slavers
