member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/rhox_iee_lccp	
rhox_volrik_high_wom	wh3_main_winds_of_magic
wh3_main_corruption_tzeentch_1-10_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_tzeentch_11-20_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_tzeentch_21-30_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_tzeentch_31-40_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_tzeentch_41-50_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_tzeentch_51-60_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_tzeentch_61-70_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_tzeentch_71-80_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_tzeentch_81-90_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_tzeentch_91-100_rhox_volrik	wh3_main_corruption_tzeentch
wh3_main_corruption_khorne_1-10_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_khorne_11-20_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_khorne_21-30_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_khorne_31-40_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_khorne_41-50_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_khorne_51-60_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_khorne_61-70_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_khorne_71-80_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_khorne_81-90_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_khorne_91-100_rhox_valbrand	wh3_main_corruption_khorne
wh3_main_corruption_slaanesh_1-10_rhox_dolmance	wh3_main_corruption_slaanesh
wh3_main_corruption_slaanesh_11-20_rhox_dolmance	wh3_main_corruption_slaanesh
wh3_main_corruption_slaanesh_21-30_rhox_dolmance	wh3_main_corruption_slaanesh
wh3_main_corruption_slaanesh_31-40_rhox_dolmance	wh3_main_corruption_slaanesh
wh3_main_corruption_slaanesh_41-50_rhox_dolmance	wh3_main_corruption_slaanesh
wh3_main_corruption_slaanesh_51-60_rhox_dolmance	wh3_main_corruption_slaanesh
wh3_main_corruption_slaanesh_61-70_rhox_dolmance	wh3_main_corruption_slaanesh
wh3_main_corruption_slaanesh_71-80_rhox_dolmance	wh3_main_corruption_slaanesh
wh3_main_corruption_slaanesh_81-90_rhox_dolmance	wh3_main_corruption_slaanesh
wh3_main_corruption_slaanesh_91-100_rhox_dolmance	wh3_main_corruption_slaanesh
rhox_arbaal_resource_effects_1	rhox_arbaal_resource
rhox_arbaal_resource_effects_2	rhox_arbaal_resource
rhox_arbaal_resource_effects_3	rhox_arbaal_resource
rhox_arbaal_resource_effects_4	rhox_arbaal_resource
rhox_valbrand_slave_effect_1	def_slaves
rhox_valbrand_slave_effect_2	def_slaves
rhox_valbrand_slave_effect_3	def_slaves
rhox_valbrand_slave_effect_4	def_slaves
rhox_valbrand_slave_effect_5	def_slaves
