issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;1;db/cdir_events_mission_issuer_junctions_tables/rhox_iee_lccp	
CLAN_ELDERS	rhox_burlok_ritual_burlok_artifact_1
CLAN_ELDERS	rhox_burlok_ritual_burlok_artifact_2
CLAN_ELDERS	rhox_burlok_ritual_burlok_artifact_3
CLAN_ELDERS	rhox_burlok_ritual_burlok_artifact_4
CLAN_ELDERS	rhox_burlok_ritual_burlok_artifact_5
CLAN_ELDERS	rhox_burlok_ritual_burlok_artifact_6
CLAN_ELDERS	rhox_burlok_ritual_burlok_artifact_7
CLAN_ELDERS	rhox_burlok_ritual_burlok_artifact_8
CLAN_ELDERS	rhox_sceolan_conderation_mission
CLAN_ELDERS	rhox_spew_survival_mission
