character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/hkrul_dolmance				
hkrul_dolmance_special_0_1	rhox_dolmance_reduce_slaanesh_building_cost	1	faction_to_region_own	-15.0000
hkrul_dolmance_special_0_2	rhox_dolmance_increase_devotee_proudction	1	character_to_province_own	100.0000
hkrul_dolmance_special_1_0	wh_main_effect_character_stat_bonus_vs_infantry	1	character_to_character_own	10.0000
hkrul_dolmance_special_1_0	hkrul_dolmance_pal	1	character_to_character_own	1.0000
hkrul_dolmance_special_1_1	wh_main_effect_region_resource_furs_production	1	character_to_region_own	10.0000
hkrul_dolmance_special_1_1	wh_main_effect_character_stat_missile_resistance	1	character_to_character_own	15.0000
hkrul_dolmance_special_1_2	wh_main_effect_character_stat_leadership_aura_size_attacking	1	character_to_character_own	50.0000
hkrul_dolmance_special_1_2	wh_main_effect_force_stat_melee_defence_infantry	1	general_to_force_own	5.0000
hkrul_dolmance_special_1_3	wh_main_effect_force_stat_leadership_siege_attack	1	general_to_force_own	8.0000
hkrul_dolmance_special_1_3	wh_main_effect_force_all_campaign_movement_range	1	general_to_force_own_unseen	10.0000
hkrul_dolmance_special_1_4	wh_main_effect_force_all_campaign_movement_range	1	general_to_force_own_unseen	10.0000
hkrul_dolmance_special_2_0	rhox_dolmance_harmony_in_excess	1	character_to_character_own	1.0000
innate_hkrul_dolmance	hkrul_enable_immortality	1	character_to_character_own	1.0000
innate_hkrul_dolmance	wh3_main_effect_sla_devotees_cults	1	character_to_faction_unseen	10.0000
