character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/hkrul_wundal				
hkrul_wundal_agent_actions	wh2_dlc11_effect_agent_action_enable_champion_hinder_settlement_treasure_hunt	1	character_to_character_own	1.0000
hkrul_wundal_agent_actions	wh2_main_effect_agent_action_enable_champion_assist_army_training	1	character_to_character_own	1.0000
hkrul_wundal_agent_actions	wh2_main_effect_agent_action_enable_champion_hinder_agent_assassinate	1	character_to_character_own	1.0000
hkrul_wundal_agent_actions	wh2_main_effect_agent_action_enable_champion_hinder_army_assault_units	1	character_to_character_own	1.0000
hkrul_wundal_agent_actions	wh2_main_effect_agent_action_enable_champion_hinder_settlement_assault_garrison	1	character_to_character_own	1.0000
hkrul_wundal_agent_actions	wh2_main_effect_agent_action_enable_champion_passive_stimulate_growth	1	character_to_character_own	1.0000
hkrul_wundal_agent_actions	wh2_main_effect_agent_action_passive_stimulate_growth_effect_negative	1	character_to_enemy_province	-10.0000
hkrul_wundal_agent_actions	wh2_main_effect_agent_action_passive_stimulate_growth_effect_positive	1	character_to_province_own	10.0000
hkrul_wundal_special_1_0	wh_main_effect_character_stat_leadership_aura_size	1	character_to_character_own	25.0000
hkrul_wundal_special_1_0	wh_main_faction_political_diplomacy_mod_dwarfs	1	faction_to_faction_own_unseen	-5.0000
hkrul_wundal_special_1_1	wh_main_effect_character_mod_ancillary_drop	1	character_to_character_own	15.0000
hkrul_wundal_special_1_1	wh_main_effect_economy_gdp_mod_all	1	character_to_region_own	10.0000
hkrul_wundal_special_1_2	wh_main_effect_force_stat_magic_resistance	1	agent_to_parent_army_general_own	20.0000
hkrul_wundal_special_1_2	wh_main_effect_character_stat_enable_magic_attacks	1	character_to_character_own	1.0000
hkrul_wundal_special_1_3	wh_main_effect_agent_cap_increase_runesmith	1	character_to_faction_unseen	1.0000
hkrul_wundal_special_1_3	wh2_dlc17_effect_shared_cooldown_mod_all_runes	1	agent_to_parent_army_own	-10.0000
hkrul_wundal_special_1_4	hkrul_wundal_frog	1	character_to_character_own	1.0000
