character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/wolf_calithian_elves				
wh2_dlc15_skill_node_hef_calith_torinubar_unique_0	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_0	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_0	wh_main_effect_character_stat_melee_attack	1	character_to_character_own	10.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_0	wh_main_effect_character_stat_weapon_strength	1	character_to_character_own	10.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_0	wh_main_effect_character_stat_ward_save	1	character_to_character_own	20.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_1	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_1	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_1	wh2_dlc12_effect_magic_cooldown_all_lores	1	character_to_character_own	-2.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_1	wh3_main_effect_winds_of_magic_pool_cap	1	character_to_force_own_provincewide	15.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_2	wh_dlc08_effect_ability_enable_greater_arcane_conduit	1	character_to_character_own	1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_2	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_2	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_3	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_3	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_3	rhox_iee_lccp_effect_winds_of_magic_pooled_resource_change_positive_mod_enemy	1	general_to_force_enemy_regionwide	-15.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_4	wh2_main_effect_building_construction_cost_mod_resource_buildings	1	faction_to_region_own_unseen	-25.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_4	wh2_main_effect_building_construction_time_mod_lzd_resource_buildings	1	faction_to_region_own_unseen	-1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_4	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_4	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_4	wh_main_effect_economy_trade_good_commodity_mod	1	character_to_faction	10.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_4	wh3_dlc23_effect_technology_chd_convoy_mod_active_convoys	1	character_to_faction_unseen	1.0000
rhox_calith_torinubar_gate_guards	rhox_torinubar_melee_attack_gate_guard	1	general_to_force_own	6.0000
rhox_calith_torinubar_gate_guards	rhox_torinubar_melee_defence_gate_guard	1	general_to_force_own	12.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_5	wh_main_effect_agent_action_success_chance_enemy_skill	1	character_to_character_own	-1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_5	wh_main_effect_agent_action_success_chance_skill	1	character_to_character_own	1.0000
wh2_dlc15_skill_node_hef_calith_torinubar_unique_5	hef_calith_torinubar_enable_kinetic_explosion	1	character_to_character_own	1.0000
hef_calith_torinubar_innate	wh_dlc03_effect_tech_movement_speed_all	1	general_to_force_own	5.0000
hef_calith_torinubar_innate	wh_main_effect_economy_gdp_mod_trade_sea	1	faction_to_region_own	5.0000
hef_calith_torinubar_innate	wh2_main_effect_grant_immortality_lord_hidden	1	character_to_character_own	1.0000
hef_calith_torinubar_innate	wh3_dlc23_effect_technology_chd_convoy_mod_active_convoys	1	character_to_faction_unseen	1.0000
hef_calith_torinubar_eagle	wh_dlc05_effect_enable_mount_great_eagle	1	character_to_character_own	1.0000
hef_calith_torinubar_dragon	wh2_main_effect_enable_mount_hef_star_dragon	1	character_to_character_own	1.0000
