key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/wolf_calithian_elves									
wh2_dlc15_skill_node_hef_calith_torinubar_army_0		wh_main_skill_all_lord_battle_inspiring_presence		4	0		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_1_1		wh2_main_skill_hef_army_buff_basic_infantry		4	1		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_1_2		wh2_main_skill_hef_army_buff_missile		4	2		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_1_3		wh2_main_skill_hef_army_buff_cavalry		4	3		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_1_4		wh2_main_skill_hef_army_buff_elite_cav		4	4		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_1_5		wh2_main_skill_hef_army_buff_flyers		4	5		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_1_6		wh2_main_skill_hef_army_buff_elite_inf		4	6		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_2		wh2_main_skill_hef_def_fire_at_will		4	7		0	6	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_3_1		wh2_main_skill_hef_army_buff_avalanche_of_granite		4	8		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_3_2		wh2_main_skill_hef_army_buff_favourable_winds		4	9		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_3_3		wh2_main_skill_hef_army_buff_silver_torrent		4	10		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_3_4		wh2_main_skill_hef_army_buff_heart_of_the_flame		4	11		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_army_4		wh2_main_skill_hef_def_darken_the_skies		4	12		0	1	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_0		wh_main_skill_all_lord_campaign_route_marcher		5	0		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_1_1		wh_main_skill_emp_lord_campaign_iron_disciplinarian		5	1		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_1_2		wh_main_skill_grn_lord_campaign_looter		5	2		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_1_3		wh_main_skill_brt_lord_campaign_bonded_service		5	3		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_1_4		wh2_main_skill_def_campaign_wary		5	4		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_2		wh2_main_skill_def_campaign_draftmaster		5	5		0	4	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_3_1		wh_main_skill_all_lord_campaign_lightning_strike		5	6		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_3_2		wh_main_skill_emp_lord_campaign_quartermaster		5	7		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_3_3		wh2_main_skill_hef_campaign_elven_healing		5	8		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_3_4		wh_main_skill_vmp_lord_campaign_ancient_cunning		5	9		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_campaign_4		wh2_main_skill_LL_self_defense		5	10		0	4	true
wh2_dlc15_skill_node_hef_calith_torinubar_dedication_1		wh2_main_skill_hef_dedication_hoeth		0	9		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_generic_1		wh2_main_skill_hef_generic_speed_of_asuryan		0	4		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_generic_2		wh2_dlc15_skill_hef_archmage_greater_ward		0	5		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_generic_3		wh2_dlc15_skill_hef_archmage_crackling_potency		0	6		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_generic_4		wh2_dlc15_skill_hef_archmage_absolute_control		0	7		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_0		wh2_main_skill_all_magic_high_02_apotheosis		2	0		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_1_1		wh2_main_skill_all_magic_high_04_hand_of_glory_lord		2	2		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_1_2		wh2_main_skill_all_magic_high_03_lore_attribute		2	1		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_1_3		wh2_main_skill_all_magic_high_01_soul_quench_lord		2	3		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_1_4		wh2_main_skill_all_magic_high_05_tempest_lord		2	4		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_2		wh2_dlc15_skill_hef_archmage_potential_energy		2	5		0	4	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_3_1		wh_main_skill_all_magic_all_07_earthing		2	8		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_3_2		wh_main_skill_all_magic_all_08_power_drain		2	9		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_3_3		wh2_main_skill_all_magic_high_09_arcane_unforging_lord		2	6		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_3_4		wh2_main_skill_all_magic_high_10_fiery_convocation_lord		2	7		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_magic_dummy		wh2_main_skill_all_magic_high_dummy_apotheosis_soulquench		2	11		1	0	false
wh2_dlc15_skill_node_hef_calith_torinubar_special_0		wh2_dlc15_skill_node_hef_calith_torinubar_unique_0		1	1		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_special_1_1		wh2_dlc15_skill_node_hef_calith_torinubar_unique_1		1	2		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_special_1_2		wh2_dlc15_skill_node_hef_calith_torinubar_unique_2		1	3		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_special_1_3		wh2_dlc15_skill_node_hef_calith_torinubar_unique_3		1	4		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_special_1_4		wh2_dlc15_skill_node_hef_calith_torinubar_unique_4		1	5		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_special_1_5		rhox_calith_torinubar_gate_guards		1	6		0	0	true
wh2_dlc15_skill_node_hef_calith_torinubar_special_2		wh2_dlc15_skill_node_hef_calith_torinubar_unique_5		1	7		0	4	true
wh2_dlc15_skill_node_hef_calith_torinubar_innate_0		hef_calith_torinubar_innate		6	0		1	0	false
hef_calith_torinubar_eagle		hef_calith_torinubar_eagle		0	0		0	0	true
hef_calith_torinubar_dragon		hef_calith_torinubar_dragon		0	1		0	0	true
