key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/rhox_iee_lccp			
hkrul_defeated_trait_sceolan	1	hkrul_defeated_trait_sceolan	1
hkrul_defeated_trait_valbrand	1	hkrul_defeated_trait_valbrand	1
hkrul_defeated_trait_volrik	1	hkrul_defeated_trait_volrik	1
hkrul_defeated_trait_zach	1	hkrul_defeated_trait_zach	1
rhox_torinubar_defeated_torinubar	1	rhox_torinubar_defeated_torinubar	1
hkrul_defeated_trait_hrothyogg	1	hkrul_defeated_trait_hrothyogg	1
hkrul_defeated_trait_orghotts	1	hkrul_defeated_trait_orghotts	1
hkrul_defeated_trait_aelfric	1	hkrul_defeated_trait_aelfric	1
hkrul_defeated_trait_burlok	1	hkrul_defeated_trait_burlok	1
hkrul_defeated_trait_dolmance	1	hkrul_defeated_trait_dolmance	1
hkrul_defeated_trait_thorgar	1	hkrul_defeated_trait_thorgar	1
hkrul_defeated_trait_slaurith	1	hkrul_defeated_trait_slaurith	1
hkrul_defeated_trait_arbaal	1	hkrul_defeated_trait_arbaal	1
hkrul_defeated_trait_engra	1	hkrul_defeated_trait_engra	1
