bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/rhox_iee_lccp		
melee_attack_mod	rhox_hrothyogg_effect_force_stat_melee_attack_maneaters	ogr_maneaters
melee_defence_mod	rhox_hrothyogg_effect_force_stat_melee_defence_maneaters	ogr_maneaters
unit_xp_mod	hkrul_spew_riders_rank	hkrul_spew_riders
melee_attack_mod	hkrul_thorgar_mammoths	hkrul_khazag_mammoth
upkeep_mod	hkrul_thorgar_mammoths_upkeep	hkrul_khazag_mammoth
melee_damage_mod_mult	hkrul_khazag_marauder_ws	hkrul_khazag_marauder
unit_xp_mod	hkrul_khazag_marauder_recruit	hkrul_khazag_marauder
melee_damage_mod_mult	rhox_sceolan_effect_skill_weapon_damage_increase_wef_wardancers_wildwood_rangers	wh2_dlc11_wef_wardancers_wildwood_rangers
melee_damage_ap_mod_mult	rhox_sceolan_effect_skill_weapon_damage_increase_wef_wardancers_wildwood_rangers	wh2_dlc11_wef_wardancers_wildwood_rangers
missile_damage_ap_mod_mult	hkrul_vroth_javelin_accuracy	hkrul_vroth_javelins
unit_xp_mod	hkrul_vroth_javelin_recruit	hkrul_vroth_javelins
upkeep_mod	hkrul_vroth_javelin_upkeep	hkrul_vroth_javelins
missile_damage_mod_mult	hkrul_vroth_javelin_wdamage	hkrul_vroth_javelins
melee_attack_mod	rhox_torinubar_melee_attack_gate_guard	rhox_gate_guards
melee_defence_mod	rhox_torinubar_melee_defence_gate_guard	rhox_gate_guards
melee_attack_mod	rhox_sceolan_office_woodelf_elf_melee_attack	wef_dlc05_wood_elf_elf_units
melee_defence_mod	rhox_sceolan_office_woodelf_elf_melee_defence	wef_dlc05_wood_elf_elf_units
missile_block_chance_mod	rhox_duriath_stat_missile_block_chance_def_corsair	def_corsairs
charge_bonus	rhox_duriath_stat_charge_bonus_def_corsair	def_corsairs
melee_attack_mod	rhox_karitamen_effect_force_stat_melee_attack_carrion	rhox_karitamen_carrion
charge_add	rhox_karitamen_effect_force_stat_charge_bonus_add_carrion	rhox_karitamen_carrion
unit_damage_resistance_physical_mod	rhox_karitamen_effect_physical_resist_carrion	rhox_karitamen_carrion
mod_land_movement_battle	rhox_karitamen_effect_move_speed_carrion	rhox_karitamen_carrion
melee_damage_ap_mod_mult	rhox_karitamen_effect_force_stat_weapon_strength_carrion	rhox_karitamen_carrion
melee_damage_mod_mult	rhox_karitamen_effect_force_stat_weapon_strength_carrion	rhox_karitamen_carrion
melee_attack_mod	rhox_zach_grave_guard_melee_attack	vmp_graveguard
melee_defence_mod	rhox_zach_grave_guard_melee_defence	vmp_graveguard
melee_attack_mod	rhox_dolmance_effect_force_stat_melee_attack_sla_inf	rhox_dolmance_slaanesh_inf
melee_defence_mod	rhox_dolmance_effect_force_stat_melee_defence_sla_inf	rhox_dolmance_slaanesh_inf
charge_add	rhox_slaurith_effect_force_stat_charge_bonus_add_knight	chs_knights_mkho
charge_add	rhox_slaurith_effect_force_stat_charge_bonus_add_knight	wh3_main_kho_cav_skullcrushers_0
cost_mod	rhox_hrothyogg_maneater_recruitment_cost	ogr_maneaters
