effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/hkrul_lccp		
hkrul_hroth_stew	enable	hkrul_hroth_stew
hkrul_arbaal_ruiner	enable	hkrul_arbaal_ruiner
hkrul_spew_bombard	enable	hkrul_spew_bombard
hkrul_spew_spoiled	enable	hkrul_spew_spoiled
hkrul_slaurith_enable_gorefeast	enable	wh3_main_unit_passive_gorefeast
hkrul_slaurith_enable_hungering	enable	wh3_twa06_unit_passive_hungering_blades
hkrul_valbrand_helm	enable	hkrul_valbrand_helm
hkrul_valbrand_pal	enable	hkrul_valbrand_pal
hkrul_valbrand_sword	enable	hkrul_valbrand_sword
hkrul_valbrand_eruption	enable	hkrul_valbrand_eruption
hkrul_volrik_claw	enable	hkrul_volrik_claw
hkrul_volrik_blessed	enable	hkrul_volrik_blessed
hkrul_thorgar_cry	enable	hkrul_thorgar_cry
hkrul_thorgar_flail	enable	hkrul_thorgar_flail
hkrul_thorgar_stomp	enable	hkrul_thorgar_stomp
hkrul_thorgar_carnivore	enable	hkrul_thorgar_carnivore
hkrul_vroth_skewer	enable	hkrul_vroth_skewer
hef_calith_torinubar_enable_kinetic_explosion	enable	wh2_torinubar_kinetic_wave
rhox_torinubar_purchase_east	enable	wh3_main_unit_passive_battle_harmony_yin
rhox_torinubar_purchase_west	enable	wh3_main_unit_passive_battle_harmony_yang
rhox_arbaal_spawn_spawn	enable	rhox_arbaal_spawn_spawn
hkrul_shaz_stout	enable	hkrul_shaz_stout
hkrul_thulgrim_time	enable	hkrul_thulgrim_time
hkrul_rhobb_axe	enable	hkrul_rhobb_axe
rhox_sceolan_office_enable_bound_blizzard	enable	rhox_sceolan_bound_blizzard
hkrul_arbaal_smite	enable	hkrul_arbaal_smite
rhox_zach_effect_breath_num_uses	uses_mod	wh2_main_unit_abilities_pestilential_breath
rhox_zach_enable_dragon_blood	enable	rhox_zach_dragon_blood
rhox_zach_enable_zach_token	enable	rhox_zach_token
rhox_duriath_effect_army_ability_enable_vengence	enable	rhox_karitamen_vengence
hkrul_slaurith_enable_bloodrage	enable	rhox_slaurith_bloodrage
hkrul_oerl_horn	enable	hkrul_oerl_horn
hkrul_burlok_warm	enable	hkrul_burlok_warm
hkrul_burlok_hammer	enable	hkrul_burlok_hammer
hkrul_burlok_arm	enable	hkrul_burlok_arm
hkrul_zach_heart	enable	hkrul_zach_heart
hkrul_sceolan_blast	enable	hkrul_sceolan_blast
hkrul_aelfric_helm	enable	hkrul_aelfric_helm
hkrul_aelfric_pal	enable	hkrul_aelfric_pal
hkrul_aelfric_sword	enable	hkrul_aelfric_sword
hkrul_aelfric_mark_trait	enable	hkrul_aelfric_mark
hkrul_aelfric_howl	enable	hkrul_aelfric_howl
rhox_thorgar_effect_ability_enable_spirit_essence_of_chaos_hidden	enable	wh_dlc05_lord_abilities_spirit_essence_of_chaos
hkrul_oerl_axe	enable	hkrul_oerl_axe
hkrul_kita_bombard	enable	hkrul_kita_bombard
hkrul_zach_circlet	enable	hkrul_zach_circlet
