key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/rhox_iee_lccp								
rhox_torinubar_faction_trait			faction	1	character.png	true	false	true
rhox_torinubar_dilemma_attrition	Harsh landscapes take their blood tithe from the weak and feeble first.	The Path of Fire	force	1	attrition.png	true	false	true
rhox_torinubar_dilemma_defence	The arcane processes of the Hell-Forge grant these shields and armour greater effectiveness, for a time.	Clad in Durability	force	1	defence.png	true	false	true
rhox_torinubar_dilemma_offence	The arcane processes of the Hell-Forge grant these weapons much greater lethality, for a time.	Wielding Destruction	force	1	melee.png	true	false	true
rhox_torinubar_purchase_east			none	1	rhox_torinubar_east_resource.png	true	false	true
rhox_torinubar_purchase_west			none	1	rhox_torinubar_west_resource.png	true	false	true
rhox_valbrand_faction_trait			faction	1	effect_bundle_valbrand.png	true	false	true
rhox_sceolan_faction_trait			faction	1	character.png	true	false	true
rhox_volrik_faction_trait			faction	1	character.png	true	false	true
rhox_zach_faction_trait			faction	1	character.png	true	false	true
rhox_valbrand_innate_effect_bundle			character	1	character.png	false	false	true
rhox_volrik_cotw_hidden_effect_bundle			faction	1		false	false	true
rhox_volrik_wind_of_magic_high		Winds of Magic Power Reserve (80-100)	force	1	magic.png	true	false	true
