faction	mercenary_set
#faction_to_mercenary_set_junctions_tables;0;db/faction_to_mercenary_set_junctions_tables/rhox_iee_lccp	
rhox_def_key_keepers	wh2_main_def_units_of_renown_pool
rhox_nor_firebrand_slavers	wh_dlc08_nor_units_of_renown_pool
rhox_vmp_the_everliving	wh_dlc04_vmp_units_of_renown_pool
rhox_brt_reveller_of_domance	wh_dlc07_brt_units_of_renown_pool
rhox_wef_far_away_forest	wh_dlc05_wef_units_of_renown_pool
rhox_kho_destroyers_of_khorne	wh3_main_kho_units_of_renown_pool
rhox_nor_ravenblessed	wh_dlc08_nor_units_of_renown_pool
rhox_nor_khazags	wh_dlc08_nor_units_of_renown_pool
rhox_chs_the_deathswords	wh3_dlc20_chs_faction_pool
rhox_chs_the_deathswords	wh_dlc01_chs_units_of_renown_pool
