ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/hkrul_beorg	
wh3_main_unit_passive_single_entity	hkrul_beorg
wh_main_character_abilities_foe_seeker	hkrul_beorg
wh_dlc08_lord_abilities_fight_or_die	hkrul_beorg
wh_main_character_abilities_deadly_onslaught	hkrul_beorg
wh3_main_unit_passive_single_entity	hkrul_beorg_bear
wh_main_character_abilities_foe_seeker	hkrul_beorg_bear
wh_dlc08_lord_abilities_fight_or_die	hkrul_beorg_bear
wh_main_character_abilities_deadly_onslaught	hkrul_beorg_bear
hkrul_beorg_human_form	hkrul_beorg_bear
hkrul_beorg_bear_form	hkrul_beorg
wh_dlc04_unit_passive_chilling_aura	hkrul_beorg_ice_feral
hkrul_beorg_rally	hkrul_beorg
