ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/hkrul_thorgar	
wh_main_lord_passive_hold_the_line	hkrul_thorgar
wh3_main_unit_passive_single_entity	hkrul_thorgar
wh_main_character_abilities_foe_seeker	hkrul_thorgar
wh_main_character_abilities_stand_your_ground	hkrul_thorgar
hkrul_thorgar_pal	hkrul_thorgar
wh_main_character_abilities_deadly_onslaught	hkrul_thorgar
wh_main_lord_passive_hold_the_line	hkrul_thorgar_mount
hkrul_thorgar_pal	hkrul_thorgar_mount
wh3_main_unit_passive_single_entity	hkrul_thorgar_mount
wh_main_character_abilities_foe_seeker	hkrul_thorgar_mount
wh_main_character_abilities_stand_your_ground	hkrul_thorgar_mount
wh_main_character_abilities_deadly_onslaught	hkrul_thorgar_mount
hkrul_thorgar_pal	hkrul_thorgar_mount_2
wh_main_lord_passive_hold_the_line	hkrul_thorgar_mount_2
wh3_main_unit_passive_single_entity	hkrul_thorgar_mount_2
wh_main_character_abilities_foe_seeker	hkrul_thorgar_mount_2
wh_main_character_abilities_stand_your_ground	hkrul_thorgar_mount_2
wh_main_character_abilities_deadly_onslaught	hkrul_thorgar_mount_2
wh_main_lord_passive_hold_the_line	hkrul_thorgar_mount_3
wh3_main_unit_passive_single_entity	hkrul_thorgar_mount_3
wh_main_character_abilities_foe_seeker	hkrul_thorgar_mount_3
wh_main_character_abilities_stand_your_ground	hkrul_thorgar_mount_3
wh_main_character_abilities_deadly_onslaught	hkrul_thorgar_mount_3
hkrul_thorgar_pal	hkrul_thorgar_mount_3
