agent_subtype	ministerial_position
#ministerial_positition_to_subtype_restrictions_tables;0;db/ministerial_positition_to_subtype_restrictions_tables/rhox_sceolan	
wh2_dlc16_wef_drycha	cr_far_away_forest_minister_1
wh2_dlc16_wef_sisters_of_twilight	cr_far_away_forest_minister_1
wh2_dlc16_wef_spellweaver_beasts	cr_far_away_forest_minister_1
wh2_dlc16_wef_spellweaver_dark	cr_far_away_forest_minister_1
wh2_dlc16_wef_spellweaver_high	cr_far_away_forest_minister_1
wh2_dlc16_wef_spellweaver_life	cr_far_away_forest_minister_1
wh2_dlc16_wef_spellweaver_shadows	cr_far_away_forest_minister_1
wh_dlc05_wef_ancient_treeman	cr_far_away_forest_minister_1
wh_dlc05_wef_durthu	cr_far_away_forest_minister_1
wh_dlc05_wef_glade_lord	cr_far_away_forest_minister_1
wh_dlc05_wef_glade_lord_fem	cr_far_away_forest_minister_1
wh_dlc05_wef_orion	cr_far_away_forest_minister_1
