pooled_resource_factor	resource_cost	amount	context	ui_resource_transaction_pooled_resource
#resource_cost_pooled_resource_junctions_tables;1;db/resource_cost_pooled_resource_junctions_tables/rhox_lccp_torinubar				
rhox_torinubar_west_upgrade	rhox_torinubar_purchase_west	-50	absolute	default
rhox_torinubar_east_upgrade	rhox_torinubar_purchase_east	-50	absolute	default
rhox_torinubar_west_upgrade	rhox_torinubar_east_tier_1	-50	absolute	default
rhox_torinubar_east_upgrade	rhox_torinubar_west_tier_1	-50	absolute	default
rhox_torinubar_west_upgrade	rhox_torinubar_east_tier_2	-100	absolute	default
rhox_torinubar_east_upgrade	rhox_torinubar_west_tier_2	-100	absolute	default
rhox_torinubar_west_upgrade	rhox_torinubar_east_tier_3	-200	absolute	default
rhox_torinubar_east_upgrade	rhox_torinubar_west_tier_3	-200	absolute	default
rhox_torinubar_west_upgrade	rhox_torinubar_east_tier_4	-400	absolute	default
rhox_torinubar_east_upgrade	rhox_torinubar_west_tier_4	-400	absolute	default
