key	campaign_key	faction_key	indent	technology_key	technology_node_set	tier	research_points_required	cost_per_round	food_cost	optional_ui_group	resource_cost	required_parents	pixel_offset_x	pixel_offset_y
#technology_nodes_tables;0;db/technology_nodes_tables/rhox_beorg														
rhox_beorg_tech_nor_darklands_cathay_capital			4	wh3_main_ie_tech_nor_darklands_cathay_capital	nur_rotbloods_tech	14	100	0	0			0	0	0
rhox_beorg_tech_nor_darklands_chaos_dwarfs_capital			3	wh3_main_ie_tech_nor_darklands_chaos_dwarfs_capital	nur_rotbloods_tech	14	100	0	0			0	0	0
rhox_beorg_tech_nor_darklands_hate_cathay			4	wh3_main_ie_tech_nor_darklands_hate_cathay	nur_rotbloods_tech	13	1500	0	0			0	0	0
rhox_beorg_tech_nor_darklands_hate_chaos_dwarfs			3	wh3_main_ie_tech_nor_darklands_hate_chaos_dwarfs	nur_rotbloods_tech	13	1500	0	0			0	0	0
rhox_beorg_tech_nor_darklands_hate_kislev			8	wh3_main_ie_tech_nor_oldworld_hate_kislev	nur_rotbloods_tech	7	1500	0	0			0	0	0
rhox_beorg_tech_nor_darklands_hate_ogre_kingdoms			5	wh3_main_ie_tech_nor_darklands_hate_ogre_kingdoms	nur_rotbloods_tech	13	1500	0	0			0	0	0
rhox_beorg_tech_nor_darklands_kislev_capital			8	wh3_main_ie_tech_nor_oldworld_kislev_capital	nur_rotbloods_tech	8	100	0	0			0	0	0
rhox_beorg_tech_nor_darklands_ogre_kingdoms_capital			5	wh3_main_ie_tech_nor_darklands_ogre_kingdoms_capital	nur_rotbloods_tech	14	100	0	0			0	0	0
rhox_beorg_tech_nor_darklands_starter			4	wh3_main_ie_tech_nor_darklands_starter	nur_rotbloods_tech	12	1000	0	0			0	0	0
rhox_beorg_tech_nor_creatures_01			6	wh_dlc08_tech_nor_creatures_01	nur_rotbloods_tech	0	500	0	0			0	0	0
rhox_beorg_tech_nor_creatures_02			5	wh_dlc08_tech_nor_creatures_02	nur_rotbloods_tech	1	500	0	0			0	0	0
rhox_beorg_tech_nor_creatures_03			5	wh_dlc08_tech_nor_creatures_03	nur_rotbloods_tech	2	800	0	0			0	0	0
rhox_beorg_tech_nor_creatures_04			6	wh_dlc08_tech_nor_creatures_04	nur_rotbloods_tech	1	500	0	0			0	0	0
rhox_beorg_tech_nor_creatures_05			6	wh_dlc08_tech_nor_creatures_05	nur_rotbloods_tech	2	800	0	0			0	0	0
rhox_beorg_tech_nor_creatures_06			7	wh_dlc08_tech_nor_creatures_06	nur_rotbloods_tech	1	500	0	0			0	0	0
rhox_beorg_tech_nor_creatures_07			7	wh_dlc08_tech_nor_creatures_07	nur_rotbloods_tech	2	800	0	0			0	0	0
rhox_beorg_tech_nor_marauders_01			2	wh_dlc08_tech_nor_marauders_01	nur_rotbloods_tech	0	300	0	0			0	0	0
rhox_beorg_tech_nor_marauders_02			1	wh_dlc08_tech_nor_marauders_02	nur_rotbloods_tech	1	500	0	0			0	0	0
rhox_beorg_tech_nor_marauders_03			2	wh_dlc08_tech_nor_marauders_03	nur_rotbloods_tech	1	500	0	0			0	0	0
rhox_beorg_tech_nor_marauders_04			3	wh_dlc08_tech_nor_marauders_04	nur_rotbloods_tech	1	500	0	0			0	0	0
rhox_beorg_tech_nor_marauders_05			1	wh_dlc08_tech_nor_marauders_05	nur_rotbloods_tech	2	800	0	0			0	0	0
rhox_beorg_tech_nor_marauders_06			2	wh_dlc08_tech_nor_marauders_06	nur_rotbloods_tech	2	500	0	0			0	0	0
rhox_beorg_tech_nor_marauders_07			3	wh_dlc08_tech_nor_marauders_07	nur_rotbloods_tech	2	800	0	0			0	0	0
rhox_beorg_tech_nor_nw_01			4	wh_dlc08_tech_nor_nw_01	nur_rotbloods_tech	9	1000	0	0			0	0	0
rhox_beorg_tech_nor_nw_02			1	wh_dlc08_tech_nor_nw_02	nur_rotbloods_tech	10	1500	0	0			0	0	0
rhox_beorg_tech_nor_nw_03			1	wh_dlc08_tech_nor_nw_03	nur_rotbloods_tech	11	100	0	0			0	0	0
rhox_beorg_tech_nor_nw_04			2	wh_dlc08_tech_nor_nw_04	nur_rotbloods_tech	10	1500	0	0			0	0	0
rhox_beorg_tech_nor_nw_05			2	wh_dlc08_tech_nor_nw_05	nur_rotbloods_tech	11	100	0	0			0	0	0
rhox_beorg_tech_nor_nw_06			3	wh_dlc08_tech_nor_nw_06	nur_rotbloods_tech	10	1500	0	0			0	0	0
rhox_beorg_tech_nor_nw_07			3	wh_dlc08_tech_nor_nw_07	nur_rotbloods_tech	11	100	0	0			0	0	0
rhox_beorg_tech_nor_nw_08			5	wh_dlc08_tech_nor_nw_08	nur_rotbloods_tech	10	1500	0	0			0	0	0
rhox_beorg_tech_nor_nw_09			5	wh_dlc08_tech_nor_nw_09	nur_rotbloods_tech	11	100	0	0			0	0	0
rhox_beorg_tech_nor_nw_10			6	wh_dlc08_tech_nor_nw_10	nur_rotbloods_tech	10	1500	0	0			0	0	0
rhox_beorg_tech_nor_nw_11			6	wh_dlc08_tech_nor_nw_11	nur_rotbloods_tech	11	100	0	0			0	0	0
rhox_beorg_tech_nor_nw_20			7	wh_dlc08_tech_nor_nw_20	nur_rotbloods_tech	10	1500	0	0			0	0	0
