key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/hkrul_lccp				
hkrul_spew_riders	false	-1	-1	
hkrul_khazag_mammoth	false	-1	-1	
hkrul_khazag_marauder	false	-1	-1	
hkrul_vroth_javelins	false	-1	-1	
hkrul_arbaal_hound	false	-1	-1	
hkrul_slaurith_blood	false	-1	-1	
rhox_gate_guards	false	-1	-1	
rhox_black_ark	false	-1	-1	
rhox_karitamen_carrion	false	-1	-1	
rhox_zach_necromaner	false	-1	-1	
rhox_dolmance_slaanesh_inf	false	-1	-1	
hkrul_dwarf_artillery	false	-1	-1	
hkrul_oerl_bears	false	-1	-1	
hkrul_oerl_hunters	false	-1	-1	
hkrul_oerl_wolves	false	-1	-1	
hkrul_oerl_bearmen	false	-1	-1	
hkrul_beorg_bear	false	-1	-1	
hkrul_nor_inf_shield	false	-1	-1	
