faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set	supports_upgrades
#units_custom_battle_permissions_tables;11;db/units_custom_battle_permissions_tables/rhox_iee_lccp										
cr_dwf_firebeards_excavators	false	hkrul_rhobb	true	true	ui/portraits/portholes/wh_main_dwf_dwarfs/hkrul_rhobb.png	hkrul_uniform_rhobb	hkrul_rhobb	false		false
cr_dwf_firebeards_excavators	false	hkrul_thulgrim	true	true	ui/portraits/portholes/wh_main_dwf_dwarfs/hkrul_thulgrim.png	hkrul_uniform_thulgrim	hkrul_thulgrim	false		false
cr_dwf_firebeards_excavators	false	hkrul_shaz	true	true	ui/portraits/portholes/wh_main_dwf_dwarfs/hkrul_shaz.png	hkrul_shaz	hkrul_shaz	false		false
cr_hef_gate_guards	false	hef_calith_gatekeepers	true	true				false		false
rhox_vmp_the_everliving	false	rhox_lccp_vmp_giant	true	true				false		false
rhox_wef_far_away_forest	true	rhox_lccp_sceolan_wef_spellweaver_ice	true	true	ui/portraits/portholes/no_culture/wef_spellweaver_campaign_05_0.png	wh2_dlc16_uniform_wef_spellweaver_05		false		false
rhox_wef_far_away_forest	true	rhox_lccp_sceolan_wef_spellweaver_ice_1	true	true	ui/portraits/portholes/no_culture/wef_spellweaver_campaign_05_0.png	wh2_dlc16_uniform_wef_spellweaver_05		false		false
rhox_wef_far_away_forest	true	rhox_lccp_sceolan_wef_spellweaver_ice_2	true	true	ui/portraits/portholes/no_culture/wef_spellweaver_campaign_05_0.png	wh2_dlc16_uniform_wef_spellweaver_05		false		false
rhox_wef_far_away_forest	true	rhox_lccp_sceolan_wef_spellweaver_ice_3	true	true	ui/portraits/portholes/no_culture/wef_spellweaver_campaign_05_0.png	wh2_dlc16_uniform_wef_spellweaver_05		false		false
rhox_wef_far_away_forest	false	rhox_lccp_sceolan_wef_spellsinger_ice	true	true	ui/portraits/portholes/no_culture/wef_spellsinger_campaign_03_0.png	wh_dlc05_uniform_wef_spellsinger_03		false		false
rhox_wef_far_away_forest	false	rhox_lccp_sceolan_wef_spellsinger_ice_1	true	true	ui/portraits/portholes/no_culture/wef_spellsinger_campaign_03_0.png	wh_dlc05_uniform_wef_spellsinger_mp_mounted_03		false		false
rhox_wef_far_away_forest	false	rhox_lccp_sceolan_wef_spellsinger_ice_2	true	true	ui/portraits/portholes/no_culture/wef_spellsinger_campaign_03_0.png	wh_dlc05_uniform_wef_spellsinger_mp_mounted_03		false		false
rhox_wef_far_away_forest	false	rhox_lccp_sceolan_wef_spellsinger_ice_3	true	true	ui/portraits/portholes/no_culture/wef_spellsinger_campaign_03_0.png	wh_dlc05_uniform_wef_spellsinger_mp_mounted_03		false		false
cr_dwf_firebeards_excavators	false	hkrul_gargul	true	true	ui/portraits/portholes/wh_main_dwf_dwarfs/hkrul_gargul.png	hkrul_gargul	hkrul_gargul	false		false
cr_dwf_firebeards_excavators	false	hkrul_wundal	true	true	ui/portraits/portholes/wh_main_dwf_dwarfs/hkrul_wundal.png	hkrul_wundal	hkrul_wundal	false		false
cr_dwf_firebeards_excavators	false	hkrul_skargel	true	true	ui/portraits/portholes/wh_main_dwf_dwarfs/hkrul_skargel.png	hkrul_skargel	hkrul_skargel	false		false
