key	faction	allowed
#units_to_exclusive_faction_permissions_tables;0;db/units_to_exclusive_faction_permissions_tables/rhox_dolmance		
wh_pro04_brt_cav_knights_errant_ror_0	rhox_brt_reveller_of_domance	true
wh_pro04_brt_cav_knights_of_the_realm_ror_0	rhox_brt_reveller_of_domance	true
wh_pro04_brt_cav_mounted_yeomen_ror_0	rhox_brt_reveller_of_domance	true
wh_pro04_brt_cav_questing_knights_ror_0	rhox_brt_reveller_of_domance	true
wh_pro04_brt_inf_battle_pilgrims_ror_0	rhox_brt_reveller_of_domance	true
wh_pro04_brt_inf_foot_squires_ror_0	rhox_brt_reveller_of_domance	true
wh3_dlc20_chs_inf_chaos_warriors_msla	rhox_brt_reveller_of_domance	true
wh3_dlc20_chs_inf_chaos_warriors_msla_hellscourges	rhox_brt_reveller_of_domance	true
wh3_dlc20_chs_inf_chosen_msla	rhox_brt_reveller_of_domance	true
wh3_dlc20_chs_inf_chosen_msla_hellscourges	rhox_brt_reveller_of_domance	true
wh3_main_sla_inf_marauders_1	rhox_brt_reveller_of_domance	true
wh3_main_sla_inf_marauders_0	rhox_brt_reveller_of_domance	true
wh3_main_sla_inf_marauders_2	rhox_brt_reveller_of_domance	true
