variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/rhox_iee_lccp							
hkrul_rhobb		phy_rhobb		1.0000	1.1500	0.0000	
hkrul_thulgrim		phy_thulgrim		1.0000	1.1600	0.0000	
hkrul_shaz		phy_shaz		1.0000	1.1500	0.0000	
rhox_hrothyogg_rhinox	variantmeshes/wh_variantmodels/hq2/ogr/ogr_rhinox_rhox/tech	ogr_rhinox		1.0000	1.0000	0.0000	
hef_calith_gatekeepers		hef_calith_gatekeepers		1.0000	1.0000	0.0500	
hkrul_karitamen_casket_mount	variantmeshes\wh_variantmodels\throne01\dwf_shield_bearers\tech	hkrul_karitamen_casket_mount		1.0000	1.0000	0.0000	
hkrul_oerl		hkrul_oerl		1.0000	1.1400	0.0000	
hkrul_oerl_campaign		hkrul_oerl_campaign		1.0000	1.1600	0.0000	
hkrul_bearmen		hkrul_bearmen		1.0000	1.0400	0.0500	
phy_bears		phy_bears		1.0000	1.1000	0.0500	
hkrul_beorg_bear_sem		phy_bear_sem		1.0000	2.5000	0.0000	
airseal_lccp_vmp_giant		airseal_lccp_vmp_giant		1.0000	1.0000	0.0000	
