key	text	tooltip
#Loc;1;text/db/hkrul_vroth_effects__.loc		
effects_description_hkrul_vroth_helm	Ability: "Placeholder''	true
effects_description_hkrul_vroth_pal	Ability: "Fortress Wardens''	true
effects_description_hkrul_vroth_nordland_damage	Weapon Strength: %+n% for Greatsword units	true
effects_description_hkrul_vroth_sword	Ability: "Helmgart's Brand''	true
effects_description_hkrul_vroth_mount	Mount: "Barded Warhorse''	true
effects_description_hkrul_vroth_mount_2	Mount: "Imperial Pegasus''	true
effects_description_hkrul_vroth_mount_3	Mount: "Imperial Griffon''	true
effects_description_hkrul_vroth_javelin_ranged	Armour-piercing missile damage: %+n% for Marauder Hunters (Javelins)	false
effects_description_hkrul_vroth_javelin_accuracy	Armour-piercing missile damage: %+n% for Marauder Hunters (Javelins)	false
effects_description_hkrul_vroth_javelin_damage	Accuracy: %+n% for Marauder Hunters (Javelins)	false
effects_description_hkrul_vroth_javelin_recruit	Recruit Rank: %+n for Marauder Hunters (Javelins)	false
effects_description_hkrul_vroth_skewer	Ability: "Zar's Skewer''	false
effects_description_hkrul_vroth_javelin_upkeep	Upkeep: %+n% for Marauder Hunters (Javelins)	false
effects_description_hkrul_vroth_javelin_wdamage	Missile damage: %+n% for Marauder Hunters (Javelins)	false
effects_description_hkrul_vroth_javelin_vanguard	Attribute: Vanguard Deployment for Marauder Hunters (Javelins)	false
