key	text	tooltip
#Loc;1;text/db/rhox_iee_lccp_ui.loc		
campaign_localised_strings_string_rhox_valbrand_gift_button_tooltip	Gifts of Chaos||Use your harvested [[img:icon_slaves]][[/img]]Slaves to claim powerful rewards from the Khorne	false
campaign_localised_strings_string_rhox_torunubar_foreign_building_lock	[[col:red]]You can only upgrade or build this building by sending a convoy to this region[[/col]]	false
rhox_torinubar_evil_taken_title	Entrepot Lost!	false
rhox_torinubar_evil_taken_description	Grave news my lord. One of our major trade cities has fallen into the forces of evil. While we could still make a few smuggling attempts into the area, we can't build or maintain an entrepot in this settlement.	false
uied_component_texts_localised_string_ComponentTooltip_rhox_valbrand_slave_upkeep	This number of Slaves will be removed from your total each turn. If you cannot afford this upkeep, active Gifts will be deactivated. Slaves spent in this way will contribute towards unlocking new Gifts.	false
uied_component_texts_localised_string_ComponentTooltip_rhox_valbrand_slave_active_cost	Number of Slaves required to activate this Gift. Slaves spent in this way will contribute towards unlocking new Gifts.	false
campaign_localised_strings_string_rhox_valbrand_chaos_gifts_unlock_sacrifice_slaves	This Gift will be unlocked after sacrificing the specified number of Slaves.	false
campaign_localised_strings_string_rhox_volrik_gift_button_tooltip	Gifts of Chaos||Use your collected [[img:icon_grimoires]][[/img]]Grimoires to claim powerful rewards from the Tzeentch	false
uied_component_texts_localised_string_ComponentTooltip_rhox_volrik_book_upkeep	This number of Grimoires will be removed from your total each turn. If you cannot afford this upkeep, active Gifts will be deactivated. Grimoires spent in this way will contribute towards unlocking new Gifts.	false
uied_component_texts_localised_string_ComponentTooltip_rhox_volrik_book_active_cost	Number of Grimoires required to activate this Gift. Grimoires spent in this way will contribute towards unlocking new Gifts.	false
campaign_localised_strings_string_rhox_volrik_chaos_gifts_unlock_sacrifice_book	This Gift will be unlocked after offering the specified number of Grimoires.	false
ui_text_replacements_localised_text_corruption_effect_prefix_khorne_rhox_valbrand	[[col:green]]	false
ui_text_replacements_localised_text_corruption_effect_prefix_tzeentch_rhox_valrik	[[col:green]]	false
rhox_hrothyogg_branch_destroyed_title	Mercenary Branch Destroyed	false
rhox_hrothyogg_branch_destroyed_description	Due to the war with the region owner, the branch has been dismantled	false
