key	text	tooltip
#Loc;1;text/db/zzz_rhox_iee_lccp_should_be_blank.loc		
special_ability_phases_onscreen_name_hkrul_sceolan_pal		false
special_ability_phases_onscreen_name_hkrul_sceolan_sword		false
land_units_concealed_name_hkrul_sceolan		false
character_skill_node_sets_enc_title_skill_node_set_hkrul_sceolan		false
effects_description_hkrul_enable_immortality		false
character_skill_level_details_localised_description_1hkrul_sceolan_special_0_1		false
character_skill_level_details_localised_name_1hkrul_sceolan_special_0_1		false
character_skill_level_details_localised_description_1hkrul_sceolan_special_1_0		false
character_skill_level_details_localised_name_1hkrul_sceolan_special_1_0		false
character_skill_level_details_localised_description_1hkrul_sceolan_special_0_2		false
character_skill_level_details_localised_name_1hkrul_sceolan_special_0_2		false
character_skill_level_details_localised_description_1hkrul_sceolan_mount		false
character_skill_level_details_localised_name_1hkrul_sceolan_mount		false
character_skill_level_details_localised_description_1hkrul_sceolan_mount_2		false
character_skill_level_details_localised_name_1hkrul_sceolan_mount_2		false
character_skill_level_details_localised_description_1hkrul_sceolan_mount_3		false
character_skill_level_details_localised_name_1hkrul_sceolan_mount_3		false
character_trait_levels_removal_text_hkrul_defeated_trait_sceolan		false
character_skill_node_sets_enc_title_skill_node_set_hkrul_zach		false
character_skill_level_details_localised_description_1hkrul_zach_special_0_1		false
character_skill_level_details_localised_name_1hkrul_zach_special_0_1		false
character_skill_level_details_localised_description_1hkrul_zach_special_1_0		false
character_skill_level_details_localised_name_1hkrul_zach_special_1_0		false
character_skill_level_details_localised_description_1hkrul_zach_special_0_2		false
character_skill_level_details_localised_name_1hkrul_zach_special_0_2		false
character_skill_level_details_localised_description_1hkrul_zach_mount		false
character_skill_level_details_localised_name_1hkrul_zach_mount		false
character_skill_level_details_localised_description_1hkrul_zach_mount_2		false
character_skill_level_details_localised_name_1hkrul_zach_mount_2		false
character_skill_level_details_localised_description_1hkrul_zach_mount_3		false
character_skill_level_details_localised_name_1hkrul_zach_mount_3		false
units_custom_battle_permissions_override_name_hkrul_zachwh_main_vmp_vampire_countstrue		false
units_custom_battle_permissions_override_name_hkrul_sceolanwh_dlc05_wef_wood_elvestrue		false
ancillaries_explanation_text_hkrul_valbrand_banner		false
ancillaries_explanation_text_hkrul_valbrand_sword		false
ancillaries_explanation_text_hkrul_zach_banner		false
ancillaries_explanation_text_hkrul_zach_holz		false
ancillaries_explanation_text_hkrul_zach_sword		false
ancillaries_explanation_text_hkrul_zach_mount		false
ancillaries_explanation_text_hkrul_zach_mount_3		false
ancillaries_explanation_text_hkrul_zach_mount_2		false
ancillaries_explanation_text_hkrul_volrik_banner		false
ancillaries_explanation_text_hkrul_volrik_holz		false
ancillaries_explanation_text_hkrul_volrik_claw		false
ancillaries_explanation_text_hkrul_volrik_mount		false
ancillaries_explanation_text_hkrul_volrik_mount_3		false
ancillaries_explanation_text_hkrul_volrik_mount_2		false
ancillaries_explanation_text_hkrul_sceolan_banner		false
ancillaries_explanation_text_hkrul_sceolan_holz		false
ancillaries_explanation_text_hkrul_sceolan_sword		false
